operator_name,operator_abbreviation,ntd_id,gtfs_url,stop_digits
Lehigh and Northampton Transportation Authority ,LANTA,3010,,
Lewiston-Auburn Transit Committee ,LATC,1015,,
Lexington Transit Authority ,LexTran,4017,,
Licking County Transit Board ,LCTB,5163,,
Link Transit ,,43,,
Livermore / Amador Valley Transit Authority ,LAVTA,9144,,
Livingston Essential Transportation Service ,LETS,5180,,
Long Beach Transit ,LBT,9023,,
Longview Transit ,LTMI,6081,,
Lorain County Transit ,LCT,5095,,
Los Angeles County Metropolitan Transportation Authority ,LACMTA,9154,http://developer.metro.net/gtfs/google_transit.zip,
Loudoun County Commuter Bus Service - Office of Transportation Services ,LC Transit,3081,,
Lowell Regional Transit Authority ,LRTA,1005,,
Lower Rio Grande Valley Development Council ,LRGVDC,6090,,
Luzerne County Transportation Authority ,LCTA,3015,,
Macatawa Area Express Transportation Authority ,MAX,5184,,
Macon-Bibb County Transit Authority ,MTA ,4130,,
Madison County Transit District ,MCT,5146,,
Manatee County Area Transit ,MCAT,4026,,
Manchester Transit Authority ,MTA,1002,,
Maricopa County Special Transportation Services ,MCHSD,9132,,
"Marietta - VPSI, Inc. ",,4153,,
"Martz Group, National Coach Works of Virginia ",NCW,3103,,
"Martz Trailways, Poconos ",,3102,,
Maryland Transit Administration ,MTA,3034,,
Mass Transit Department - City of El Paso ,Sun Metro,6006,,
Mass Transportation Authority ,MTA,5032,,
Massachusetts Bay Transportation Authority ,MBTA,1003,http://www.eot.state.ma.us/downloads/developers_beta/MBTA-1.zip,
Memphis Area Transit Authority ,MATA,4003,,
Merced County Transit ,The Bus,9173,,
Merrimack Valley Regional Transit Authority ,MVRTA,1013,,
Mesa County ,GVT,8016,,
Metra Transit System ,Metra,4024,,
Metro Mobility ,,5155,,
Metro Regional Transit Authority ,Metro,5010,,
Metro Transit ,,5027,ftp://gisftp.metc.state.mn.us/google_transit.zip,
Metro Transit System ,Metro,5005,,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad ",MTA-MNCR,2078,,
Metropolitan Atlanta Rapid Transit Authority ,MARTA,4022,,
Metropolitan Bus Authority ,MBA,4086,,
Metropolitan Council ,,5154,,
Metropolitan Evansville Transit System ,METS,5043,,
"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus ",MTA Long Island Bus,2007,,
Metropolitan Transit Authority ,MTA,4004,,
Metropolitan Transit Authority of Black Hawk County ,MET Transit,7013,,
"Metropolitan Transit Authority of Harris County, Texas ",Metro,6008,http://ridemetro.org/AboutUs/Publications/DataFiles/google_transit.zip,
Metropolitan Tulsa Transit Authority ,MTTA,6018,,
MetroWest Regional Transit Authority ,MWRTA,1118,,
Miami County Public Transit ,MCPT,5169,,
"Miami Lakes - VPSI, Inc. ",,4152,,
Miami-Dade Transit ,MDT,4034,http://www.miamidade.gov/transit/googletransit/current/google_transit.zip,
Michiana Area Council of Governments ,MACOG,5149,,
Mid Mon Valley Transit Authority ,MMVTA,3061,,
Middletown Transit District ,MTD,1063,,
Midland-Odessa Urban Transit District ,EZ RIDER,6097,,
Mid-Ohio Valley Transit Authority ,Easy Rider,3003,,
Milford Transit District ,MTD,1107,,
Milwaukee County Transit System ,MCTS,5008,http://kamino.mcts.org/gtfs/google_transit.zip,
Missoula Urban Transportation District ,Mountain Line,8009,,
Modesto Area Express ,MAX,9007,,
Monongalia County Urban Mass Transit Authority ,Mountain Line Transit,3089,,
Monroe Bus Corporation ,,2137,,
Monsey New Square Trails Corporation ,,2135,,
Montachusett Regional Transit Authority ,MART,1061,,
Montebello Bus Lines ,MBL,9041,,
Monterey-Salinas Transit ,MST,9062,,
Morgan County Area Transportation System ,MCATS,4111,,
Mountain Metropolitan Transit ,MMT,8005,,
MTA Bus Company ,MTABUS,2188,,
MTA Long Island Rail Road ,MTA LIRR,2100,,
MTA New York City Transit ,NYCT,2008,,
Muncie Indiana Transit System ,MITS,5054,,
Municipality of Anchorage - Public Transportation Department ,People Mover,12,,
Municipality of San Sebastian ,PEPINO,4183,,
Muskegon Area Transit System ,MATS,5037,,
Napa County Transportation Planning Agency ,NCTPA,9088,,
Nashua Transit System ,NTS,1087,,
"New Britain Transportation Company, Inc. ",,1047,,
New Jersey Transit Corporation ,NJ TRANSIT,2080,,
New Jersey Transit Corporation-45 ,NJTC-45,2132,,
New Orleans Regional Transit Authority ,NORTA,6032,,
New York City Department of Transportation ,NYCDOT,2082,,
Newburgh Beacon Bus Corporation ,NBBC,2148,,
Niagara Frontier Transportation Authority ,NFT Metro,2004,,
Niles Dial-A-Ride ,DART,5038,,
Niles Trumbull Transit ,NiTTS,5175,,
North Carolina State University Transportation Department ,NCSU,4147,,
North County Transit District ,NCTD,9030,,
North Township of Lake County Dial-A-Ride ,,5103,,
Northeast Illinois Regional Commuter Railroad Corporation ,Metra,5118,,
"Northeast Transportation Company, Inc. ",,1095,,
Northern Arizona Intergovernmental Public Transportation Authority ,NAIPTA,9219,,
Northern Indiana Commuter Transportation District ,NICTD,5104,,
Northern New England Passenger Rail Authority ,NNEPRA,1115,,
Northwest Alabama Council of Local Governments ,NACOLG,4068,,
Northwest Indiana Community Action Corporation ,NWICA,5048,,
Norwalk Transit District ,,1057,,
Norwalk Transit System ,NTS,9022,,
Ohio Valley Regional Transportation Authority ,OVRTA / EORTA,3035,,
Okaloosa County Board of County Commissioners ,,4128,,
"Olympia Trails Bus Company, Inc. ",Coach USA,2165,,
Omnitrans ,OMNI,9029,,
"Opportunity Enterprises, Inc. ",OE,5131,,
Orange County Transportation Authority ,OCTA,9036,http://www.octa.net/current/google_transit.zip,
"Orange-Newark-Elizabeth, Inc. ",Coach USA,2166,,
Oshkosh Transit System ,OTS,5009,,
Ozark Regional Transit ,ORT,6072,,
Ozaukee County Transit Services ,OCTS,5161,,
Pace - Suburban Bus Division ,PACE,5113,,
"Pace-Suburban Bus Division, ADA Paratransit Services ",PACE,5182,,
Parking & Transit Department ,KU,7044,,
Pasco County Public Transportation ,PCPT,4074,,
Pee Dee Regional Transportation Authority ,PDRTA,4056,,
Pekin Municipal Bus Service ,COP,5065,,
Peninsula Corridor Joint Powers Board ,PCJPB,9134,,
Pennsylvania Department of Transportation ,PENNDOT,3057,,
Peoria Transit ,,9140,,
Petersburg Area Transit ,PAT,3009,,
"Phoenix - VPSI, Inc. ",,9169,,
Pierce County Ferry Operations ,Pierce County Ferry,28,,
Pierce County Transportation Benefit Area Authority ,Pierce Transit,3,,
Pine Bluff Transit ,PBT,6034,,
Pinellas Suncoast Transit Authority ,PSTA,4027,,
Pioneer Valley Transit Authority ,PVTA,1008,,
Placer County Department of Public Works ,PCDPW,9196,,
Polk County Transit Services Division - Polk County Board of County Commissioners ,PCTS,4127,,
Port Arthur Transit ,PAT,6013,,
Port Authority of Allegheny County ,Port Authority,3022,,
Port Authority Trans-Hudson Corporation ,PATH,2098,,
Port Authority Transit Corporation ,PATCO,2075,,
Port Imperial Ferry Corporation dba NY Waterway ,,2190,,
Portage Area Regional Transportation Authority ,PARTA,5021,,
"Porter County Aging and Community Services, Inc. ",PCACS,5179,,
Potomac and Rappahannock Transportation Commission ,PRTC,3070,,
Prince George's County Transit ,TheBus,3085,,
"Private One of New York, LLC, dba: New York Airport Service ",,2171,,
Private Transportation Corporation ,,2175,,
Pueblo Transit System ,PT,8007,,
Puerto Rico Highway and Transportation Authority ,PRHTA,4094,,
Putnam County Transit ,PART,2096,,
Rapid Transit System ,,8014,,
Red Rose Transit Authority ,RRTA,3018,,
Redding Area Bus Authority ,RABA,9093,http://trilliumtransit.com/transit_feeds/redding/google_transit.zip,
Regional Planning Commission of Greater Birmingham ,RPCGB,4169,,
"Regional Public Transportation Authority, dba: Valley Metro ",RPTA,9136,,
"Regional Transit Service, Inc. and Lift Line, Inc. ",R-GRTA,2113,,
Regional Transportation Authority ,RTA,4159,,
Regional Transportation Commission of Southern Nevada ,RTC,9045,http://www.rtcsnv.com/g/google_transit.zip,
Regional Transportation Commission of Washoe County ,RTC,9001,,
"Regional Transportation Program, Inc. ",RTP,1069,,
Research Triangle Regional Public Transportation Authority ,Triangle Transit,4108,,
Rhode Island Public Transit Authority ,RIPTA,1001,,
Richland County Transit ,RCT,5090,,
Ride-On Montgomery County Transit ,,3051,,
River Valley Metro Mass Transit District ,RVMMTD,5159,,
Riverside County Transportation Commission ,RCTC,9218,,
Riverside Transit Agency ,RTA,9031,,
Rock Island County Metropolitan Mass Transit District ,MetroLink,5057,,
Rockford Mass Transit District ,RMTD,5058,,
"Rockland Coaches, Inc. ",,2149,,
Rogue Valley Transportation District ,RVTD,34,http://www.rvtd.org/images/subpages/GTFS_feed.zip,
Roseville Transit ,,9168,,
Sacramento Regional Transit District ,Sacramento RT,9019,,
Saginaw Transit Authority Regional Service ,STARS,5039,,
Salem Area Mass Transit District ,Cherriots,25,,
San Diego Association of Governments ,SANDAG,9095,,
San Diego Metropolitan Transit System ,MTS,9026,,
San Francisco Bay Area Rapid Transit District ,BART,9003,http://www.bart.gov/dev/schedules/google_transit.zip,
San Francisco Municipal Railway ,MUNI,9015,,
San Joaquin Regional Transit District ,RTD,9012,,
San Luis Obispo Regional Transit Authority ,SLORTA,9206,,
San Mateo County Transit District ,SamTrans,9009,,
Sandusky Transit System ,STS,5164,,
Santa Barbara Metropolitan Transit District ,SBMTD,9020,,
Santa Clara Valley Transportation Authority ,VTA,9013,,
Santa Clarita Transit ,SCT,9171,,
Santa Cruz Metropolitan Transit District ,SCMTD,9006,,
Santa Fe Trails - City of Santa Fe ,SFT,6077,,
Santa Maria Area Transit ,SMAT,9087,,
Santa Monica's Big Blue Bus ,Big Blue Bus ,9008,,
Santee Wateree Regional Transportation Authority ,SWRTA,4100,,
Sarasota County Area Transit ,SCAT,4046,,
"Senior Resource Association, Inc. ",SRA,4104,,
Sheboygan Transit System ,,5088,,
Shenango Valley Shuttle Service ,SVSS,3055,,
Shreveport Area Transit System ,SporTran,6024,,
Simi Valley Transit ,SVT,9050,,
Sioux City Transit System ,SCTS,7012,,
Skagit Transit ,,44,,
Snohomish County Public Transportation Benefit Area Corporation ,Community Transit,29,,
Sonoma County Transit ,,9089,,
South Bend Public Transportation Corporation ,Transpo,5052,,
South Florida Regional Transportation Authority ,TRI-Rail,4077,,
"South Lake County Community Services, Inc. ",SLCCS,5167,,
South Metro Area Regional Transit ,SMART,46,http://trilliumtransit.com/transit_feeds/wilsonville/google_transit.zip,
Southeast Area Transit ,SEAT,1040,,
Southeastern Pennsylvania Transportation Authority ,SEPTA,3019,,
Southeastern Regional Transit Authority ,SRTA,1006,,
Southern California Regional Rail Authority ,Metrolink,9151,,
Southwest Ohio Regional Transit Authority ,SORTA / Metro,5012,,
Southwestern Pennsylvania Commission ,SPC,3078,,
Space Coast Area Transit ,SCAT,4063,http://trilliumtransit.com/transit_feeds/spacecoast-fl-us/google_transit.zip,
Spartanburg County Transportation Services ,sctsb,4088,,
Spartanburg Transit System ,SPARTA,4101,,
Spokane Transit Authority ,STA,2,,
Springfield City Area Transit ,SCAT,5020,,
Springfield Mass Transit District ,SMTD,5059,,
"St Johns County, Florida, Board of County Commissioners ",St Johns County,4155,,
St. Cloud Metropolitan Transit Commission ,Metro Bus,5028,,
St. Joseph Transit ,The Ride,7032,,
Stark Area Regional Transit Authority ,SARTA,5011,,
StarTran ,,7001,,
State of Hawaii Department of Transportation ,HDOT,9210,,
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway ",SIRTOA,2099,,
Steel Valley Regional Transit Authority ,Steel Valley RTA,5142,,
Su Tran LLC dba: Sioux Area Metro ,SAM,8002,,
Suburban Mobility Authority for Regional Transportation ,SMART,5031,,
Suburban Transit Corporation ,Coach USA,2128,,
Suffolk County Department of Public Works - Transportation Division ,ST,2072,,
"Sun Cities Area Transit System, Inc. ",SCAT,9135,,
SunLine Transit Agency ,SunLine,9079,,
Surprise Dial-A-Ride Transit System ,,9137,,
Targhee Regional Public Transit Authority ,TRPTA,42,,
Terre Haute Transit Utility ,THTU,5053,,
Terrebonne Parish Consolidated Government ,Good Earth Transit,6080,,
"Texoma Area Paratransit System, Inc ",TAPS,6107,,
The City of Cheyenne Transit Program ,CTP,8020,,
The Eastern Contra Costa Transit Authority ,Tri Delta Transit,9162,,
The Greater Cleveland Regional Transit Authority ,GCRTA,5015,,
The Greater New Haven Transit District ,GNHTD,1049,,
The Gulf Coast Center ,Connect Transit,6082,,
The Lawton Area Transit System ,LATS,6094,,
The Tri--County Council for the Lower Eastern Shore of Maryland ,Shore Transit,3096,,
The Tri-State Transit Authority ,TTA,3002,,
The Wave Transit System ,WTS,4043,,
Thousand Oaks Transit ,TOT,9165,,
Tioga County ,Tioga County Transit,2158,,
Toledo Area Regional Transit Authority ,TARTA,5022,,
Tompkins Consolidated Area Transit ,TCAT,2145,,
Topeka Metropolitan Transit Authority ,Topeka Transit - TMTA,7014,,
Torrance Transit System ,TTS,9010,,
Town of Cary ,CTRAN,4143,,
Town of Highlands Dial-A-Bus ,,2182,,
Town of Monroe Dial-A-Bus ,Monroe DAB,2183,,
"Trans-Bridge Lines, Inc. ",,2169,,
Transfort ,,8011,,
Trans-Hudson Express ,,2168,,
Transit Authority of Northern Kentucky ,TANK,4019,http://imi.nku.edu/tankgoogletransit/latest/google_transit.zip,
Transit Authority of Omaha ,MAT,7002,,
Transit Authority of River City ,TARC,4018,,
Transit Services of Frederick County ,,3072,,
Transport of Rockland ,TOR,2084,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit ",HRT,3083,,
Transportation Resources Intra-County for Physically Handicapped and Senior Citizens ,TRIPS,2086,,
"Tri-County Community Council, Inc. ",TCCC,4148,,
Tri-County Metropolitan Transportation District of Oregon ,TriMet,8,http://developer.trimet.org/schedule/gtfs.zip,
Tuscaloosa County Parking and Transit Authority ,TMT,4045,,
Twin Cities Area Transportation Authority ,TCATA,5132,,
Ulster County Area Transit ,UCAT,2178,,
Unitrans - City of Davis/ASUCD ,Unitrans,9142,,
"University of Arkansas, Fayetteville ",Razorback Transit,6062,,
University of Iowa ,Cambus,7019,,
University of Michigan Parking and Transportation Services ,UMTS,5158,,
Utah Transit Authority ,UTA,8001,,
Valley Regional Transit ,VRT,11,,
Valley Transit District ,VTD,1042,,
Ventura Intercity Service Transit Authority ,VISTA,9164,,
VIA Metropolitan Transit ,VIA,6011,,
Victor Valley Transit Authority ,VVTA,9148,,
Village of Kiryas Joel ,KJ,2187,,
Village of Spring Valley Bus ,Spring Valley Jitney,2089,,
Virginia Railway Express ,VRE,3073,,
"VPSI, Anchorage ",,49,,
Waccamaw Regional Transportation Authority ,The Coast RTA,4102,,
"Waco Transit System, Inc. ",WTS,6012,,
Washington County Transit ,County Commuter,3042,,
Washington County Transit ,,5160,,
Washington Metropolitan Area Transit Authority ,WMATA,3030,,
Washington State Ferries ,WSF,35,,
Wausau Area Transit System ,WATS,5091,,
Westchester County Bee-Line System ,The Bee-Line System,2076,,
Western Contra Costa Transit Authority ,WestCAT,9159,,
"Western Maine Transportation Services, Inc. ",WMTS,1098,,
Western Piedmont Regional Transit Authority ,WPRTA,4172,,
Western Reserve Transit Authority ,WRTA,5024,,
Westmoreland County Transit Authority ,WCTA,3044,,
Whatcom Transportation Authority ,WTA,21,,
Wichita Transit ,WT,7015,,
Williamsburg Area Transit Authority ,WATA,3076,,
Williamsport Bureau of Transportation ,RVT,3026,,
Winston-Salem Transit Authority - Trans-Aid of Forsyth County ,WSTA,4012,,
Wiregrass Transit Authority ,,4103,,
Worcester Regional Transit Authority ,WRTA,1014,,
Yakima Transit ,YT,6,,
Yolo County Transportation District ,YCTD,9090,,
York County Transportation Authority ,rabbittransit,3027,,
Yuba-Sutter Transit Authority ,YSTA,9061,,
Yuma Metropolitan Planning Organization ,YMPO,9192,,
