Count,GTFS_Stop_ID,Location_Displacement,,,Limit,Frequency count,
1,7368,4.944359933,,,5,14,14
2,4098,3.180504519,,,10,41,27
3,6264,74.52694103,,,15,61,20
4,6255,34.17610671,,,30,71,10
5,938,10.6099354,,,70,83,12
6,937,9.104724724,,,120,91,8
7,936,8.29994413,,,250,94,3
8,935,10.53779072,,,,,94
9,931,8.668574153,,,,,
10,5132,14.96700022,,,,,
11,5771,38.13478508,,,,,
12,3598,13.56700596,,,,,
13,4682,4.160798723,,,,,
14,4681,73.65589184,,,,,
15,5769,12.0793795,,,,,
16,5765,6.082314985,,,,,
17,4670,N/A,,,,,
18,6833,151.3297339,,,,,
19,6832,85.18364868,,,,,
20,5747,55.19549258,,,,,
21,4657,2.805295267,,,,,
22,4656,17.64952982,,,,,
23,1370,N/A,,,,,
24,1360,N/A,,,,,
25,4625,24.70522773,,,,,
26,4622,48.97617017,,,,,
27,4621,131.670391,,,,,
28,4620,117.9325253,,,,,
29,4619,55.46669098,,,,,
30,4618,31.80422413,,,,,
31,4617,20.26601827,,,,,
32,4616,39.6156777,,,,,
33,4614,15.38708463,,,,,
34,4613,9.302841,,,,,
35,4612,82.70839759,,,,,
36,4610,4.131237606,,,,,
37,4607,6.222730747,,,,,
38,4604,75.01300649,,,,,
39,4603,14.77863326,,,,,
40,4601,17.83238813,,,,,
41,4600,6.579192189,,,,,
42,1996,10.22644176,,,,,
43,1995,12.11359545,,,,,
44,890,11.28700273,,,,,
45,889,12.15738343,,,,,
46,888,10.10783876,,,,,
47,886,9.45272591,,,,,
48,881,15.30625597,,,,,
49,1932,1.822109172,,,,,
50,1930,4.725434901,,,,,
51,1927,37.61948545,,,,,
52,1905,5.584972307,,,,,
53,1904,8.118750983,,,,,
54,1903,6.021249949,,,,,
55,1902,4.996259778,,,,,
56,5015,2.187444236,,,,,
57,4599,33.37717091,,,,,
58,4598,83.1507981,,,,,
59,4597,88.80084849,,,,,
60,4555,3.496557176,,,,,
61,4553,20.83587587,,,,,
62,4552,7.128574543,,,,,
63,4550,219.8562942,,,,,
64,4549,9.232721409,,,,,
65,4548,11.51978282,,,,,
66,4547,14.11474926,,,,,
67,4546,9.550184602,,,,,
68,4545,24.20218862,,,,,
69,4544,27.78027443,,,,,
70,4543,6.728019608,,,,,
71,4541,32.12077226,,,,,
72,3455,11.53548338,,,,,
73,3453,5.36639447,,,,,
74,3452,5.819348801,,,,,
75,3451,1.651875333,,,,,
76,3450,7.918815776,,,,,
77,4537,11.96850764,,,,,
78,3449,4.552626186,,,,,
79,3447,7.812528998,,,,,
80,3439,6.370164447,,,,,
81,3432,3.303788917,,,,,
82,2304,4.187296864,,,,,
83,7170,7.003545892,,,,,
84,7164,7.614725856,,,,,
85,7163,7.481464075,,,,,
86,7162,34.37489573,,,,,
87,7159,10.32120558,,,,,
88,7158,6.680797806,,,,,
89,7150,11.01897386,,,,,
90,2940,5.691011831,,,,,
91,7149,11.30478822,,,,,
92,4488,21.58004578,,,,,
93,4487,6.999848939,,,,,
94,4486,7.333314351,,,,,
95,6645,12.54563918,,,,,
96,7727,N/A,,,,,
97,7726,N/A,,,,,
98,7725,N/A,,,,,
99,7724,N/A,,,,,
100,7723,N/A,,,,,
101,2281,44.5707153,,,,,
102,7722,N/A,,,,,
103,7721,N/A,,,,,
104,7720,N/A,,,,,
105,2279,N/A,,,,,
106,7719,N/A,,,,,
107,7718,N/A,,,,,
108,7717,N/A,,,,,
109,7716,12.35522804,,,,,
110,7715,N/A,,,,,
111,7714,N/A,,,,,
112,7712,N/A,,,,,
113,7711,N/A,,,,,
114,3357,73.43828398,,,,,
115,695,7.227251954,,,,,
116,1775,N/A,,,,,
117,7029,4.027202566,,,,,
118,7027,5.817395653,,,,,
119,7026,113.0090407,,,,,
120,3907,6.700460844,,,,,
121,7024,1.787042997,,,,,
122,7010,8.332754806,,,,,
123,7689,32.24913945,,,,,
124,7688,11.45703239,,,,,
125,7615,23.22466742,,,,,
126,7613,N/A,,,,,
127,7612,N/A,,,,,
128,4328,N/A,,,,,
129,4326,18.53943821,,,,,
130,2149,56.38303747,,,,,
131,4977,1.696017398,,,,,
132,4974,17.63796307,,,,,
133,4963,5.100086809,,,,,
134,2747,4.632053286,,,,,
135,2737,5.695865501,,,,,
136,548,N/A,,,,,
137,1622,5.699352119,,,,,
138,1619,3.045630116,,,,,
139,1618,9.430948603,,,,,
140,1617,7.583681735,,,,,
141,1616,8.52432766,,,,,
142,7593,76.03474929,,,,,
143,7590,9.290728153,,,,,
144,7581,12.04777742,,,,,
145,6497,N/A,,,,,
146,7576,15.36209539,,,,,
147,4273,3.673766102,,,,,
148,2096,8.95490115,,,,,
149,5350,7.07070623,,,,,
150,2088,8.954893397,,,,,
151,5349,5.409682583,,,,,
152,5348,10.66283178,,,,,
153,4258,12.64826627,,,,,
154,5341,8.944845518,,,,,
155,5312,6.15155396,,,,,
156,2040,2.28318655,,,,,
157,4219,0.862861889,,,,,
158,4217,13.62204912,,,,,
159,4213,7.323994367,,,,,
160,2037,22.36250851,,,,,
161,3114,12.95362312,,,,,
162,3113,15.23060473,,,,,
163,3111,5.375909225,,,,,
164,3110,11.64986442,,,,,
165,2021,28.7136254,,,,,
166,2020,7.553580247,,,,,
167,3109,16.15950981,,,,,
168,3105,131.766674,,,,,
169,3104,249.1504732,,,,,
170,2012,10.07231805,,,,,
171,2006,5.405650547,,,,,
172,2005,20.19029708,,,,,
173,4870,8.469391821,,,,,
174,1598,0.99737543,,,,,
175,1597,15.0714475,,,,,
176,3731,30.67708606,,,,,
177,469,70.2961975,,,,,
178,2637,N/A,,,,,
179,1537,N/A,,,,,
180,1522,87.87174731,,,,,
181,1515,9.28939611,,,,,
182,7484,377.2321914,,,,,
183,7434,10.21844693,,,,,
184,7430,8.814311829,,,,,
185,7421,10.79931221,,,,,
186,7407,7.340711092,,,,,
187,7406,14.49920269,,,,,
188,4135,12.14806567,,,,,
189,4126,12.13404039,,,,,
190,4122,6.358020825,,,,,
191,6990,37.69381834,,,,,
192,6988,6.23216026,,,,,
193,6981,10.75896946,,,,,
194,5887,4.449152077,,,,,
195,6964,N/A,,,,,
196,4784,6.686003693,,,,,
197,6904,6.567182846,,,,,
198,6903,3.55132308,,,,,
199,4709,4.676531514,,,,,
200,4708,4.117236887,,,,,
201,4707,2.135847665,,,,,
